,LON,LAT,도로명
109,127.0105809,37.59801625,서울 성북구 흥천사길 7
110,127.0213418,37.58581717,서울 성북구 고려대로 16
111,127.0228234,37.5803803,서울 성북구 안암로3길 35
112,127.0166558,37.60144652,서울 성북구 정릉로38마길 33
113,127.011139,37.60449252,서울 성북구 정릉로26길 1
114,127.0041904,37.60892945,서울 성북구 솔샘로1길 6-3
115,127.0069995,37.6133766,서울 성북구 보국문로 106-1
116,127.0195028,37.61039832,서울 성북구 길음로 92
117,127.0273116,37.60669551,서울 성북구 삼양로2길 70
118,127.0352174,37.59901698,서울 성북구 종암로 98-8
119,127.0357756,37.61055309,서울 성북구 오패산로 96
120,127.0478865,37.60579157,서울 성북구 화랑로 152
121,127.0437305,37.61403904,서울 성북구 장위로 61
122,127.0545186,37.61240556,서울 성북구 돌곶이로27길 12
123,127.0566058,37.61654912,서울 성북구 한천로 657
124,127.0614008,37.61298602,서울 성북구 화랑로 296
125,127.018388,37.62732626,서울 강북구 삼양로 268
126,127.0270608,37.62708313,서울 강북구 솔매로49길 14
127,127.0337938,37.61612899,서울 강북구 오패산로 162
128,127.023868,37.6183082,서울 강북구 솔샘로 284
129,127.020759,37.61518777,서울 강북구 삼양로19길 34
130,127.0288457,37.63789093,서울 강북구 덕릉로41길 74
131,127.0387882,37.63233801,서울 강북구 한천로 897
132,127.0466079,37.62584808,서울 강북구 한천로105길 21
133,127.0176092,37.63005817,서울 강북구 삼양로 299
134,127.0199332,37.64466097,서울 강북구 한천로 1117
135,127.0231539,37.63871389,서울 강북구 노해로 36
136,127.0118979,37.64793082,서울 강북구 삼양로139길 49
137,127.0106324,37.64143305,서울 강북구 인수봉로 255
138,127.0357286,37.64970275,서울 도봉구 도봉로 496
139,127.0356566,37.64137768,서울 도봉구 덕릉로59길 73-3
140,127.0429402,37.63814072,서울 도봉구 덕릉로62길 89
141,127.051538,37.65223768,서울 도봉구 노해로 390
142,127.0435853,37.65630431,서울 도봉구 도봉로136나길 20
143,127.0434215,37.67867932,서울 도봉구 도봉로169나길 22
144,127.0465492,37.66971519,서울 도봉구 마들로 668
145,127.0260757,37.64799612,서울 도봉구 노해로 147
146,127.0388446,37.65793314,서울 도봉구 방학로3길 117
147,127.0279344,37.64896605,서울 도봉구 노해로44길 9
148,127.0284268,37.65646932,서울 도봉구 시루봉로 62-7
149,127.0406794,37.66423579,서울 도봉구 방학로2길 27
150,127.0349826,37.66824878,서울 도봉구 시루봉로 226
151,127.0280335,37.65915794,서울 도봉구 시루봉로 94
152,127.0630013,37.61989035,서울 노원구 석계로 59
153,127.0507426,37.63248845,서울 노원구 초안산로5길 28
154,127.0692594,37.62101488,서울 노원구 마들로 57
155,127.0738462,37.62482147,서울 노원구 동일로186길 3-24
156,127.0832965,37.62130854,서울 노원구 노원로1길 68
157,127.0725815,37.64054626,서울 노원구 노원로 261
158,127.0679782,37.63204009,서울 노원구 공릉로55길 88
159,127.0803075,37.64782841,서울 노원구 중계로 143
