,0,1
0,126.9706497,37.58411617
1,126.9688461,37.57618697
2,126.9817583,37.58499778
3,126.964061,37.5924143
4,126.9683578,37.6063917
5,126.9582457,37.57598547
6,126.9619472,37.57198631
7,126.9847845,37.58009681
8,127.0043381,37.57699468
9,127.0006069,37.58686244
10,127.0163773,37.57073712
11,127.0149456,37.577884
12,127.015609,37.57781904
13,127.019969,37.57487754
14,126.9770644,37.56242885
15,126.9793567,37.55729359
16,126.9858117,37.56004799
17,126.9955995,37.56016408
18,127.0078594,37.56191184
19,127.0050527,37.56443118
20,126.9913523,37.56669787
21,127.0144422,37.56201393
22,127.0083023,37.5543182
23,127.0090037,37.55243326
24,127.0147219,37.55705661
25,127.021877,37.56513204
26,127.0194308,37.55998597
27,127.0214158,37.56749994
28,126.9644367,37.55478887
29,126.9781505,37.54867983
30,126.9855699,37.54613294
31,126.9748833,37.5457239
32,126.9698637,37.5454308
33,126.9677127,37.53732845
34,126.9515302,37.53436042
35,126.9618989,37.54245881
36,126.9576011,37.5389002
37,126.9691149,37.52813771
38,126.9733168,37.52139653
39,126.9546759,37.52625987
40,126.9950988,37.532507
41,126.9901964,37.54190232
42,127.0005521,37.53462986
43,126.9946381,37.52046238
44,127.0001697,37.52627217
45,127.0305048,37.56110807
46,127.0255316,37.56788114
47,127.0453258,37.56637955
48,127.0453273,37.56149975
49,127.0362034,37.55850438
50,127.0293402,37.55826482
51,127.0334168,37.55316049
52,127.0216431,37.5548499
53,127.0224013,37.54719127
54,127.0134361,37.54358774
55,127.0496516,37.5420797
56,127.0443133,37.54636247
57,127.0540356,37.53955498
58,127.0552278,37.54821483
59,127.0695691,37.55453226
60,127.0555791,37.56407582
61,127.0713676,37.54647626
62,127.0759028,37.55514464
63,127.0800508,37.56066681
64,127.0815263,37.56028739
65,127.0802089,37.56879369
66,127.0894475,37.55907792
67,127.0805369,37.55377926
68,127.1030268,37.54685743
69,127.0823807,37.53451463
70,127.0844154,37.52884409
71,127.0729033,37.53383249
72,127.0663052,37.53407425
73,127.0856754,37.54241225
74,127.0898996,37.54724567
75,127.0919613,37.53798181
76,127.0372623,37.57580317
77,127.0378184,37.58311546
78,127.0477045,37.57802307
79,127.0600226,37.57804268
80,127.0512742,37.5717903
81,127.0612863,37.5673274
82,127.0664403,37.56778772
83,127.0706147,37.57845848
84,127.0472897,37.58625111
85,127.0553725,37.5907886
86,127.0657912,37.59296725
87,127.0686148,37.5901059
88,127.0655056,37.59782195
89,127.065121,37.60339389
90,127.0790313,37.58978764
91,127.0856082,37.57470403
92,127.0794845,37.58579053
93,127.0874885,37.58728052
94,127.0869853,37.57901338
95,127.0872134,37.59984775
96,127.0808735,37.59299122
97,127.080674,37.60117145
98,127.0795442,37.59938466
99,127.0784844,37.61241368
100,127.0783123,37.60602037
101,127.1014146,37.60053197
102,127.0949172,37.59189867
103,127.0994967,37.60587467
104,127.0941789,37.60624664
105,127.0032723,37.59104481
106,127.0146742,37.59083671
107,127.0204157,37.59398933
108,127.0263863,37.60341972
109,127.0105809,37.59801625
110,127.0213418,37.58581717
111,127.0228234,37.5803803
112,127.0166558,37.60144652
113,127.011139,37.60449252
114,127.0041904,37.60892945
115,127.0069995,37.6133766
116,127.0195028,37.61039832
117,127.0273116,37.60669551
118,127.0352174,37.59901698
119,127.0357756,37.61055309
120,127.0478865,37.60579157
121,127.0437305,37.61403904
122,127.0545186,37.61240556
123,127.0566058,37.61654912
124,127.0614008,37.61298602
125,127.018388,37.62732626
126,127.0270608,37.62708313
127,127.0337938,37.61612899
128,127.023868,37.6183082
129,127.020759,37.61518777
